id,tokenId,value,operator,from,to,claimIds,transactionHash
71,74,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,169,0x39332b97bec7126506bf13138f209087b1e5db1aef9038800007fd627372759e
72,75,24000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"170,171,172",0x39332b97bec7126506bf13138f209087b1e5db1aef9038800007fd627372759e
73,76,15000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,173,0x965b3cbbfcb30f02aeb12bfe44a1d35ce467bf57dad1d6d411975463076d2da7
74,77,18000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,174,0x965b3cbbfcb30f02aeb12bfe44a1d35ce467bf57dad1d6d411975463076d2da7
75,78,14000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"175,176",0x965b3cbbfcb30f02aeb12bfe44a1d35ce467bf57dad1d6d411975463076d2da7
76,79,19000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"177,178",0x965b3cbbfcb30f02aeb12bfe44a1d35ce467bf57dad1d6d411975463076d2da7
77,80,32000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,179,0x965b3cbbfcb30f02aeb12bfe44a1d35ce467bf57dad1d6d411975463076d2da7
78,81,20000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,180,0x10393c4515a429113b1b6ecd56266a30b8c0a6d96c6b657d5c98fde20919cc99
79,82,13000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,181,0x10393c4515a429113b1b6ecd56266a30b8c0a6d96c6b657d5c98fde20919cc99
80,83,9000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"182,183,184",0x10393c4515a429113b1b6ecd56266a30b8c0a6d96c6b657d5c98fde20919cc99
