batchId,storagePointer,certificateIds,redemptionStatement,transactionHash
0x000000000000000000000000000000000000000000000000000000000000028d,https://bafybeif6ns5ylplslfwjnf2w6jdvvdynp26ayumq4riqs5fzbyvfkeziz4.ipfs.dweb.link,707,bafybeif6ns5ylplslfwjnf2w6jdvvdynp26ayumq4riqs5fzbyvfkeziz4,0xdce8451ddba5257c2346205c9d6576d55cef9e79d2d4054013c9c9613f162893
0x000000000000000000000000000000000000000000000000000000000000028e,https://bafybeibci5v4vs62ipyznqoclsq3h5jkuqjrl2bnbmvdouriopaxcmo3ri.ipfs.dweb.link,708,bafybeibci5v4vs62ipyznqoclsq3h5jkuqjrl2bnbmvdouriopaxcmo3ri,0xe737693ac5fc6e6eb3f328a41964cabd570a68acfa80bdd2b7a782526ce20794
0x000000000000000000000000000000000000000000000000000000000000028f,https://bafybeih3md2luqli3qjple7acpn2rkp7p53klbf3q4j2ur3anmfqphkkva.ipfs.dweb.link,709,bafybeih3md2luqli3qjple7acpn2rkp7p53klbf3q4j2ur3anmfqphkkva,0xcb43aa5ddb82d943d82537749520154049e33c1e5ec934c935f8ed4a338d69f6
0x0000000000000000000000000000000000000000000000000000000000000290,https://bafybeidjuyypqr6q3gbqq5lylvbf7muwurybjw5aawbulhibj73rojytfi.ipfs.dweb.link,710,bafybeidjuyypqr6q3gbqq5lylvbf7muwurybjw5aawbulhibj73rojytfi,0x7187cc795399b630153d19d948b64ac5e4ea606a510ed37fae9b806e5d57b495
0x0000000000000000000000000000000000000000000000000000000000000291,https://bafybeibz6kzt4j2e5b2xqa7z3dfzn5eqs5jhlpb35xnzu7ue22qsq4riwq.ipfs.dweb.link,711,bafybeibz6kzt4j2e5b2xqa7z3dfzn5eqs5jhlpb35xnzu7ue22qsq4riwq,0xd71abe2f9109d611926f1f2709f25ebbc0106762645a1bf93ab25848d59f76c6
0x0000000000000000000000000000000000000000000000000000000000000292,https://bafybeiggz7zqn6dw5gz2pu2hl52tswmtz4jv465ettrlijwqebtaikavjm.ipfs.dweb.link,712,bafybeiggz7zqn6dw5gz2pu2hl52tswmtz4jv465ettrlijwqebtaikavjm,0xed99dc222438fb8188f2b881c2c200a17e8e3714b573f19923210837c7d098af
0x0000000000000000000000000000000000000000000000000000000000000293,https://bafybeicv4vo2ikhfabrqqwb5e4yzpftggotlzdgsrhy3f67reyilj32pbq.ipfs.dweb.link,713,bafybeicv4vo2ikhfabrqqwb5e4yzpftggotlzdgsrhy3f67reyilj32pbq,0x4d1c716357f094eb9cc5bf298f39a68edf9c016d6fac08a5d4e6b9680e5d04ae
0x0000000000000000000000000000000000000000000000000000000000000042,https://bafkreigbwq4wjqvxqswi4gv54mdv23kjmevkfrhwzbgaqihzdkz72h3ibe.ipfs.dweb.link,714,bafkreigbwq4wjqvxqswi4gv54mdv23kjmevkfrhwzbgaqihzdkz72h3ibe,0x3d3bb5aa05c0535d8eeda05a639dcab425992983a9c7222e880666570ad1dfc1
0x0000000000000000000000000000000000000000000000000000000000000294,https://bafybeidhzk2aon5k22grn46gp3h5f6qiyo6nekxmnfbsx4pswkswxhwxba.ipfs.dweb.link,715,bafybeidhzk2aon5k22grn46gp3h5f6qiyo6nekxmnfbsx4pswkswxhwxba,0x6a7861dba37f681a611a47ac416c10c570a5318d08b35fc199d2deb6bf89afc8
0x0000000000000000000000000000000000000000000000000000000000000295,https://bafybeicb3x7vy6jmcbdhsbdpgm7yh7qypzpa6ji4c4rq72jn5nho75lwem.ipfs.dweb.link,716,bafybeicb3x7vy6jmcbdhsbdpgm7yh7qypzpa6ji4c4rq72jn5nho75lwem,0x79c119645959c60a1a98b34a872010e6f8d0d36fb6f32b209198c0a6d76bb3f6
